V-3,O-3,H-3,L-3,V-2,O-2,H-2,L-2,V-1,O-1,H-1,L-1,Actual,Date
26067510,197.77,200.99,197.35,20899720,200.29,201.57,199.57,31110640,198.68,199.5,197.05,203.17,07/01/2019
46026600,102.37,103.75,101.37,35890740,102.39,102.83,100.96,31538710,100.78,101.76,100.4,101.31,03/09/2016
30237640,167.64,168.75,164.88,34581850,164.88,172.01,164.77,26750260,172.58,174.23,172.08,170.97,04/06/2018
18473070,196.45,197.1,195.93,25829880,196.42,200.23,196.34,35738280,200.32,202.85,199.23,198.68,04/10/2019
40113790,172.36,174.82,171.77,33690660,172.05,174.26,171.42,37378070,172.83,174.12,171.01,171.8,02/22/2018
18527000,142.9,144.75,142.9,21080580,144.11,145.95,143.37,18647220,144.73,145.85,144.38,145.87,07/12/2017
51314210,364.41,365.32,353.02,32661520,353.25,362.17,351.28,35055820,360.08,365.98,360.0,365.12,07/01/2020
22986960,144.45,144.96,143.78,14277850,144.88,145.3,143.1,21550270,143.69,144.79,142.72,143.02,07/06/2017
22187880,222.01,223.76,220.37,57977090,221.38,222.56,217.47,19419650,218.95,219.84,217.65,221.03,09/24/2019
60547340,193.9,194.48,185.93,46271660,188.39,191.97,186.9,36191330,190.5,194.97,189.46,190.0,11/19/2018
19932550,242.1,243.24,241.22,17916260,244.51,244.8,241.81,18369300,243.16,246.73,242.88,247.42,10/28/2019
68388840,93.99,94.72,92.51,47844490,93.97,94.08,92.4,56770080,94.2,95.74,93.68,95.2,05/04/2016
25682700,216.8,217.19,214.03,18965930,214.1,216.36,213.84,18505780,214.65,217.05,214.6,216.6,08/24/2018
39763300,220.0,220.79,217.02,21158140,217.73,220.13,217.56,18386470,219.96,220.82,219.12,221.06,09/18/2019
24377170,234.59,237.58,234.29,22367480,237.52,240.99,237.32,22684000,241.16,242.2,239.62,242.1,10/23/2019
27043580,176.23,177.99,174.99,40396070,175.6,177.92,170.27,30967960,175.44,179.83,174.52,184.28,06/05/2019
44453230,167.17,168.62,166.76,85957050,166.0,166.8,160.1,72215320,159.1,163.88,156.0,154.83,02/06/2018
34317760,205.55,206.01,202.25,50991030,199.0,199.85,193.79,46725710,191.63,197.18,191.45,193.9,11/14/2018
34702230,333.25,345.68,332.58,41357180,351.46,353.2,344.72,28601630,355.15,355.4,351.09,351.41,06/18/2020
67812280,199.13,201.76,197.31,62317430,200.58,208.38,200.35,33408050,207.03,208.74,205.48,208.0,08/06/2018
50061580,113.25,115.5,112.37,56005550,116.44,116.69,114.02,51861990,113.85,114.57,112.44,112.83,09/29/2015
22989980,133.08,133.82,132.75,33054500,133.47,135.09,133.25,35578640,135.52,136.27,134.62,135.67,02/16/2017
20393070,189.01,189.53,187.86,23639070,186.78,187.07,185.1,19046600,186.07,188.46,186.0,188.0,05/17/2018
30480880,311.85,315.5,309.55,27207250,313.59,315.7,312.09,34454120,316.27,318.74,315.0,317.19,01/21/2020
19046600,186.07,188.46,186.0,17014490,188.0,188.91,186.36,18083080,187.19,187.81,186.13,188.0,05/21/2018
21754600,135.91,136.66,135.28,20222210,137.14,137.44,136.28,23446340,137.08,137.44,136.7,137.89,03/01/2017
23735080,258.74,260.35,258.11,17520500,258.69,260.44,256.85,20507460,258.3,262.47,258.28,261.55,11/12/2019
36634380,320.25,323.33,317.52,40485010,310.06,311.77,304.88,40558490,312.6,318.4,312.19,324.45,01/29/2020
17154540,171.8,172.37,170.3,18890250,171.58,173.0,171.38,21846400,174.16,175.87,173.95,173.71,02/26/2019
25001730,107.39,107.88,106.68,27744300,107.41,107.95,106.31,24900130,106.62,107.44,106.29,105.8,08/30/2016
38610120,114.58,116.25,114.5,54851010,116.53,119.99,116.53,96820670,117.81,118.18,113.33,112.53,08/12/2015
62317430,200.58,208.38,200.35,33408050,207.03,208.74,205.48,25396100,208.0,209.25,207.07,209.32,08/07/2018
35131460,96.86,98.23,96.65,50303500,97.65,100.77,97.42,33136130,100.51,100.89,99.64,100.58,03/03/2016
20591090,175.05,175.08,173.34,26387240,174.3,174.87,171.86,41459120,172.63,172.92,167.16,170.43,11/30/2017
23334000,284.82,289.98,284.7,36592940,291.12,293.97,288.12,36059610,289.46,292.69,285.22,289.93,12/31/2019
53920550,93.13,95.7,93.04,44282560,94.29,95.94,93.93,42288790,95.92,96.35,94.1,93.79,02/11/2016
23553790,108.91,109.77,108.17,29357940,108.97,110.61,108.83,27150570,109.34,110.5,108.66,110.8,04/13/2016
25737560,174.28,175.15,172.89,27413060,175.69,177.75,173.97,19238480,175.94,176.0,174.54,174.67,03/06/2019
31450520,144.71,145.13,142.28,22986960,144.45,144.96,143.78,14277850,144.88,145.3,143.1,143.69,07/05/2017
100423300,247.18,251.83,228.0,84188210,228.08,228.5,212.61,71882770,236.36,247.69,234.3,250.75,03/25/2020
27453130,118.74,119.93,118.6,27057550,118.9,119.3,118.21,26083030,119.11,119.62,118.81,118.34,01/17/2017
18648700,107.78,108.44,107.78,25704330,108.14,109.54,108.08,33754680,109.63,110.23,109.21,109.1,08/17/2016
61438290,190.03,190.16,188.26,18458410,187.88,189.22,187.2,33538550,185.14,186.33,183.45,186.35,06/20/2018
39546610,106.27,107.65,106.18,28010430,107.52,108.37,107.16,26296260,108.23,108.94,108.01,108.71,08/10/2016
24833800,145.87,146.18,144.82,25080500,145.5,148.49,145.44,20117070,147.97,149.33,147.33,148.82,07/17/2017
41357180,351.46,353.2,344.72,28601630,355.15,355.4,351.09,24205100,351.41,353.45,349.22,354.64,06/19/2020
95584080,220.78,221.36,217.29,27581270,216.82,221.26,216.63,22811140,219.75,222.82,219.7,221.0,09/26/2018
29422610,175.11,176.1,173.14,25129510,175.11,175.38,174.27,16956290,173.5,174.5,173.4,173.04,11/14/2017
23946880,212.0,213.97,211.51,19362290,214.05,214.42,212.51,27309400,214.84,216.44,211.07,213.86,09/10/2019
17841920,202.83,204.94,202.34,23286380,204.43,207.75,203.9,17427570,207.36,208.48,207.05,206.83,04/25/2019
19620520,175.24,176.8,174.94,36387880,175.04,175.09,171.26,41335980,170.0,172.68,168.6,168.39,03/23/2018
26750260,172.58,174.23,172.08,34949690,170.97,172.48,168.2,28976200,169.88,173.09,169.85,173.0,04/10/2018
40885480,107.01,107.03,104.82,67569090,102.61,105.37,102.0,55583140,105.75,105.85,102.41,100.56,01/06/2016
25982080,95.49,96.47,95.33,27553750,95.39,95.4,94.46,30877540,94.6,95.66,94.37,95.7,07/07/2016
27817640,173.21,175.0,172.73,27953810,174.32,174.91,172.92,25737560,174.28,175.15,172.89,175.69,03/04/2019
18958570,169.71,171.44,169.49,25323890,171.19,173.32,170.99,17154540,171.8,172.37,170.3,171.58,02/22/2019
33490630,101.41,102.24,100.15,27368840,102.24,102.28,101.5,25058280,101.91,102.91,101.78,103.96,03/15/2016
24185530,203.12,204.15,202.52,17841920,202.83,204.94,202.34,23286380,204.43,207.75,203.9,207.36,04/24/2019
40575260,317.83,319.69,310.91,50155640,312.15,315.95,303.21,39732270,304.51,309.79,301.53,300.35,05/15/2020
33391990,289.17,293.69,286.32,36937800,295.06,301.0,294.46,35583440,300.46,303.24,298.87,303.22,05/07/2020
29451050,160.1,163.12,160.0,27215770,163.8,163.89,162.61,26729940,163.64,164.52,163.48,164.8,09/01/2017
15649120,153.35,153.93,153.06,32429770,153.75,153.99,147.3,17192770,149.89,150.23,149.19,149.9,07/31/2017
17302160,141.88,142.0,140.45,23294040,141.22,142.92,141.16,17290900,142.44,142.68,141.85,143.5,04/24/2017
33498270,145.1,147.2,144.96,44182930,147.54,148.09,146.84,45579740,145.59,147.49,144.27,146.52,05/04/2017
33290830,228.99,229.67,225.1,34121240,226.23,227.35,221.3,37418910,221.85,225.37,220.71,220.95,09/10/2018
29027340,217.71,221.38,216.75,47191700,215.9,220.19,212.67,45713690,219.19,219.69,206.09,211.15,10/30/2018
48407640,116.04,116.4,114.54,42876370,114.32,116.31,114.01,40827260,116.04,117.65,115.5,116.43,08/18/2015
16956290,173.5,174.5,173.4,24683350,173.04,173.48,171.18,28998220,169.97,170.32,168.38,171.18,11/16/2017
20892380,210.89,211.84,210.23,32443110,204.29,208.84,203.5,38763700,205.88,207.42,200.83,201.9,05/08/2019
31686450,174.94,175.85,174.27,24518850,175.48,177.12,175.07,32130360,177.96,180.0,177.39,180.29,03/12/2018
28236270,316.14,318.71,313.09,33449100,316.77,323.44,315.63,38399530,319.25,321.15,316.47,317.75,06/01/2020
17775510,141.91,142.38,141.05,16529130,141.48,141.88,140.87,14676420,141.41,142.04,141.11,141.88,04/19/2017
83825220,112.23,113.24,110.02,53075960,112.17,113.31,111.54,56111590,112.03,114.53,112.0,110.15,09/01/2015
34113880,110.0,110.03,108.25,26160560,109.5,110.36,109.19,29976030,109.26,111.19,109.16,110.86,12/08/2016
27185130,186.12,186.15,184.7,31632320,183.4,184.92,180.73,24378480,182.99,186.53,182.54,185.23,06/27/2018
50278030,113.38,114.18,112.52,35678360,113.63,114.72,113.3,50061580,113.25,115.5,112.37,116.44,09/25/2015
31644240,172.4,173.94,170.34,23793830,168.99,170.66,168.42,20940020,171.05,171.21,169.25,170.1,02/12/2019
26208970,156.6,158.57,156.07,22074760,159.32,160.21,158.75,29377630,160.66,162.2,160.14,161.94,08/16/2017
32788640,282.4,286.33,280.63,39281290,287.38,288.2,282.35,53812480,284.69,286.95,276.86,277.95,04/20/2020
27074260,220.15,223.49,219.41,48696960,223.25,228.26,222.4,43177540,226.51,228.87,226.0,228.41,09/04/2018
46882840,209.43,212.05,201.0,26066130,205.86,207.19,205.06,25897340,207.86,208.55,203.53,204.1,08/28/2019
22930630,154.0,154.58,152.91,19906170,154.9,154.9,153.31,19201820,153.84,154.17,152.67,153.73,05/25/2017
35583440,300.46,303.24,298.87,28803760,303.22,305.17,301.97,33511990,305.64,310.35,304.29,308.1,05/11/2020
41141250,180.95,182.39,176.27,42704910,171.76,174.78,170.42,41678680,173.49,174.49,168.3,165.0,12/10/2018
58279570,116.58,116.89,114.86,43218350,115.93,116.53,114.42,37080720,116.25,116.54,115.44,115.66,09/17/2015
17439210,139.06,139.98,138.79,18695500,138.95,139.8,138.82,22117750,138.74,138.79,137.05,139.25,03/10/2017
34135230,119.2,119.92,118.85,32445680,119.27,119.73,117.34,42747950,117.33,119.35,117.12,119.21,11/25/2015
59029400,116.9,118.07,116.06,45179400,116.37,117.42,115.21,32461350,116.26,116.82,115.65,115.2,11/13/2015
21341960,119.21,119.23,117.92,13046450,118.29,118.41,117.6,38063130,117.99,119.41,117.75,118.75,12/01/2015
17272900,235.09,236.15,233.52,24377170,234.59,237.58,234.29,22367480,237.52,240.99,237.32,241.16,10/22/2019
22367480,237.52,240.99,237.32,22684000,241.16,242.2,239.62,19932550,242.1,243.24,241.22,244.51,10/24/2019
24987260,185.23,187.28,184.03,17352380,184.1,186.21,183.8,22551660,186.29,187.19,182.91,183.82,07/02/2018
41464880,167.25,170.02,165.19,38116290,167.81,171.75,166.9,37425640,167.88,168.94,164.47,167.64,04/03/2018
28949760,97.2,98.02,96.58,35131460,96.86,98.23,96.65,50303500,97.65,100.77,97.42,100.51,03/02/2016
18463850,206.83,207.76,205.12,18612770,204.9,205.0,202.12,22010360,204.4,205.97,203.86,203.06,04/30/2019
41430660,114.33,115.5,114.1,59251740,116.7,119.23,116.33,66139770,118.08,118.13,114.92,115.4,10/27/2015
40323020,94.19,94.5,93.01,48032600,95.02,96.85,94.61,44811800,96.67,98.21,96.15,98.84,02/18/2016
40122100,173.63,174.17,172.46,29385650,174.88,177.2,174.86,27393660,175.03,175.39,174.09,174.87,12/20/2017
34806250,118.75,118.81,116.86,33316990,117.05,118.11,116.08,41511380,116.55,116.79,114.22,115.29,12/04/2015
28641180,93.48,93.57,92.46,76183460,92.72,92.78,89.47,44223040,90.0,91.67,90.0,92.39,05/16/2016
111837300,127.03,130.49,127.01,33671250,127.98,129.39,127.78,24460160,128.31,129.19,128.16,129.13,02/06/2017
16859020,191.39,192.61,191.15,21480120,192.42,192.88,190.44,21584720,191.55,191.57,190.22,190.03,06/15/2018
27715140,153.58,155.45,152.89,25277680,154.34,154.45,153.46,26591850,153.9,155.81,153.78,155.02,06/07/2017
45114590,102.65,105.72,102.53,62080160,107.51,108.79,107.24,111186900,108.73,113.03,108.6,113.86,09/15/2016
48032600,95.02,96.85,94.61,44811800,96.67,98.21,96.15,38866100,98.84,98.89,96.09,96.0,02/19/2016
13046450,118.29,118.41,117.6,38063130,117.99,119.41,117.75,34806250,118.75,118.81,116.86,117.05,12/02/2015
25672210,318.66,320.89,315.87,20450750,315.77,319.23,315.35,31380450,323.5,324.24,316.5,316.14,05/27/2020
33113340,170.8,171.47,169.68,21477380,170.1,170.78,169.71,16412270,171.0,171.85,170.48,170.52,12/29/2017
25047130,170.78,173.7,170.78,25558680,173.36,175.0,173.05,14026670,175.1,175.5,174.65,175.05,11/27/2017
22401040,172.23,173.92,171.7,22858840,173.41,175.0,173.04,25100510,174.78,175.84,173.85,175.03,04/16/2018
49979700,93.79,94.72,92.59,40323020,94.19,94.5,93.01,48032600,95.02,96.85,94.61,96.67,02/17/2016
30912260,106.96,109.43,106.86,25184090,108.58,108.7,107.18,40885480,107.01,107.03,104.82,102.61,01/04/2016
19998050,144.47,144.6,143.38,14198660,143.92,144.16,143.31,20783460,144.09,144.3,143.27,145.1,05/01/2017
32226670,224.8,226.42,222.86,39763300,220.0,220.79,217.02,21158140,217.73,220.13,217.56,219.96,09/17/2019
23430370,221.0,223.75,219.76,29729270,223.82,226.44,223.54,22560440,224.79,225.84,224.02,227.95,10/01/2018
26924630,152.88,153.7,151.51,32018540,150.85,151.27,149.22,28449940,150.27,153.39,150.05,153.08,01/16/2019
33843130,313.17,316.5,310.32,25432390,315.03,318.52,313.01,27876220,316.68,319.52,316.2,318.66,05/21/2020
56005550,116.44,116.69,114.02,51861990,113.85,114.57,112.44,73230280,112.83,113.51,107.86,110.17,09/30/2015
59332210,174.0,174.26,171.12,34770480,172.37,174.99,171.72,24332120,173.91,175.25,173.6,174.66,11/08/2017
31396130,115.39,115.86,114.1,36792100,113.87,115.21,113.45,26378910,113.65,114.23,113.2,113.46,11/01/2016
24755470,173.87,174.44,172.02,23985960,170.32,173.07,169.5,31123000,175.49,179.12,175.35,180.0,03/12/2019
58133850,148.3,157.23,146.72,51608850,155.84,156.77,150.07,41740600,157.5,158.52,154.55,158.53,12/31/2018
32493770,154.7,156.42,154.67,25912270,156.01,156.65,155.05,19994270,155.94,156.06,154.72,153.6,05/17/2017
37979570,111.38,114.24,111.0,27584020,114.92,115.05,113.32,46559730,115.76,117.49,115.5,117.64,11/19/2015
35661200,152.5,153.97,150.86,26924630,152.88,153.7,151.51,32018540,150.85,151.27,149.22,150.27,01/15/2019
57097740,111.09,111.09,105.83,34117030,107.12,108.87,106.55,50901380,107.71,107.81,104.08,106.57,11/15/2016
20088940,153.63,153.86,152.46,21215870,154.18,155.44,154.05,17223790,154.97,155.49,154.56,155.81,10/09/2017
32661520,353.25,362.17,351.28,35055820,360.08,365.98,360.0,27684310,365.12,367.36,363.91,367.85,07/02/2020
28157630,160.11,160.5,158.0,20565620,159.51,159.77,158.44,52126240,157.9,158.26,153.83,155.8,09/21/2017
19088170,172.15,172.39,171.46,23402510,172.5,173.54,172.0,20442740,172.4,173.13,171.65,173.63,12/15/2017
22692880,222.3,222.64,219.34,32389280,217.86,219.74,213.0,32874330,218.06,221.26,217.43,219.79,10/22/2018
21400410,113.4,113.66,112.69,28508710,113.7,114.34,113.13,24336440,114.31,114.56,113.51,115.02,10/10/2016
40814360,96.47,96.71,95.4,37190500,95.42,96.04,94.28,45870130,95.0,96.84,94.08,95.86,02/04/2016
22811140,219.75,222.82,219.7,23430370,221.0,223.75,219.76,29729270,223.82,226.44,223.54,224.79,09/28/2018
36937800,295.06,301.0,294.46,35583440,300.46,303.24,298.87,28803760,303.22,305.17,301.97,305.64,05/08/2020
27883360,203.46,205.14,199.67,28813620,204.28,207.16,203.84,24431920,210.62,212.73,210.03,210.88,08/20/2019
41511380,116.55,116.79,114.22,57717870,115.29,119.25,115.11,32063100,118.98,119.86,117.81,117.52,12/08/2015
32203640,143.66,146.74,143.66,24877950,146.87,146.87,144.94,21247590,145.52,146.07,144.61,145.77,06/22/2017
11475920,111.13,111.87,110.95,27054320,111.43,112.47,111.39,28507780,110.78,112.03,110.07,111.6,11/30/2016
25458120,318.58,319.99,317.31,26117990,317.92,319.56,315.65,36634380,320.25,323.33,317.52,310.06,01/27/2020
31627180,277.2,283.01,277.0,29271890,281.8,284.54,279.95,28001190,285.08,285.83,278.2,284.73,04/29/2020
41208710,197.42,198.85,192.77,57430620,187.71,189.48,182.85,36529680,186.41,189.7,185.41,186.27,05/15/2019
80605870,241.95,259.08,240.0,81013970,247.51,257.61,238.4,75058410,239.77,250.0,237.12,247.39,03/19/2020
27309400,214.84,216.44,211.07,31777930,213.86,216.78,211.71,44289650,218.07,223.71,217.73,224.8,09/12/2019
28174980,111.4,112.35,111.23,26538700,110.98,111.46,109.55,30790930,108.53,110.25,108.11,110.08,11/07/2016
27877660,299.84,300.9,297.48,33090950,297.16,304.44,297.16,42621540,307.24,310.43,306.2,310.6,01/10/2020
34394830,105.52,106.47,104.96,43607120,106.34,106.5,105.19,35454230,105.93,107.65,105.14,105.25,03/22/2016
47597670,166.0,167.45,159.09,64398230,160.4,162.11,155.3,95497900,156.86,158.16,149.63,148.15,12/24/2018
22481890,199.62,202.05,199.15,47539790,201.02,212.14,200.83,36547440,203.16,206.44,202.59,203.46,08/15/2019
14979680,116.45,117.11,116.4,30555900,116.65,117.2,115.43,28769220,115.8,116.33,114.76,115.85,01/04/2017
21477380,170.1,170.78,169.71,16412270,171.0,171.85,170.48,25938760,170.52,170.59,169.22,170.16,01/02/2018
25108890,108.77,109.69,108.36,25784420,108.86,109.1,107.85,21236850,108.59,109.32,108.53,108.57,08/24/2016
28813620,204.28,207.16,203.84,24431920,210.62,212.73,210.03,26919530,210.88,213.35,210.32,212.99,08/21/2019
16367780,156.73,157.28,156.41,24093300,157.9,160.0,157.65,18969700,159.78,160.87,159.23,160.42,10/18/2017
55583140,105.75,105.85,102.41,68384270,100.56,102.37,99.87,80742460,98.68,100.13,96.43,98.55,01/08/2016
31851180,96.4,96.5,94.55,36192150,93.98,96.38,93.32,27526040,96.05,96.76,95.25,97.2,02/26/2016
31306390,178.61,179.58,177.41,27052000,177.3,177.78,176.6,32395870,177.3,179.44,176.82,177.25,01/24/2018
18131970,116.52,117.8,116.49,20686510,117.52,118.02,116.2,14979680,116.45,117.11,116.4,116.65,12/30/2016
21466370,150.58,152.44,149.9,18798250,151.8,153.84,151.8,15649120,153.35,153.93,153.06,153.75,07/27/2017
28508710,113.7,114.34,113.13,24336440,114.31,114.56,113.51,36087910,115.02,116.75,114.72,117.7,10/11/2016
59251740,116.7,119.23,116.33,66139770,118.08,118.13,114.92,67673450,115.4,116.54,113.99,116.93,10/28/2015
20507460,258.3,262.47,258.28,21847230,261.55,262.79,260.92,25817590,261.13,264.78,261.07,263.75,11/14/2019
18631540,154.26,154.45,152.72,16216800,154.01,155.09,153.91,20088940,153.63,153.86,152.46,154.18,10/05/2017
44387770,159.29,163.6,158.7,44651420,163.89,168.07,163.72,35779520,167.9,169.65,166.94,169.87,11/01/2017
46271660,188.39,191.97,186.9,36191330,190.5,194.97,189.46,41626820,190.0,190.7,184.99,178.37,11/20/2018
25400540,170.16,172.3,169.26,29461040,172.53,174.55,171.96,22342650,172.54,173.47,172.08,173.44,01/05/2018
72274300,95.1,98.19,93.42,52099200,97.06,97.88,94.94,65648660,98.63,101.46,98.37,101.52,01/25/2016
31003380,186.23,189.49,184.73,50943120,190.02,196.33,189.81,42287640,195.34,197.69,190.78,191.51,03/25/2019
62080160,107.51,108.79,107.24,111186900,108.73,113.03,108.6,90398170,113.86,115.73,113.49,115.12,09/16/2016
35407050,94.94,96.35,94.68,29124140,96.25,96.89,95.35,32042290,95.94,96.29,95.25,92.91,06/24/2016
35779520,167.9,169.65,166.94,33482970,169.87,169.94,165.61,39668100,167.64,168.5,165.28,174.0,11/03/2017
22163280,135.1,135.83,135.1,24487200,136.23,136.75,135.98,20769030,136.43,137.12,136.11,137.38,02/23/2017
28397810,167.5,170.2,166.46,25656110,169.03,170.44,168.91,23285760,170.49,171.0,168.82,169.2,12/11/2017
34770480,172.37,174.99,171.72,24332120,173.91,175.25,173.6,24358920,174.66,176.24,174.33,175.11,11/09/2017
34437040,267.78,272.56,267.32,33432810,271.46,275.3,270.93,32081110,277.0,280.79,276.98,279.57,12/17/2019
35890740,102.39,102.83,100.96,31538710,100.78,101.76,100.4,27148530,101.31,101.58,100.27,101.41,03/10/2016
17170490,151.5,151.74,150.19,25111310,149.99,150.44,148.88,21466370,150.58,152.44,149.9,151.8,07/25/2017
36778560,168.07,173.1,166.44,39824200,173.68,175.15,166.92,41464880,167.25,170.02,165.19,167.81,03/29/2018
